name	type	description	sampling_frequency	high_cutoff	low_cutoff	notch	software_filters	status
MEG0113	MEGGRAD	planar_gradiometer	1100	350	0	0	none	good
MEG0112	MEGGRAD	planar_gradiometer	1100	350	0	0	none	good
MEG0111	MEGMAG	magnetometer	1100	350	0	0	none	good
MEG0122	MEGGRAD	planar_gradiometer	1100	350	0	0	none	good
MEG0123	MEGGRAD	planar_gradiometer	1100	350	0	0	none	good
MEG0121	MEGMAG	magnetometer	1100	350	0	0	none	good
MEG0132	MEGGRAD	planar_gradiometer	1100	350	0	0	none	good
MEG0133	MEGGRAD	planar_gradiometer	1100	350	0	0	none	good
MEG0131	MEGMAG	magnetometer	1100	350	0	0	none	good
MEG0143	MEGGRAD	planar_gradiometer	1100	350	0	0	none	good
MEG0142	MEGGRAD	planar_gradiometer	1100	350	0	0	none	good
MEG0141	MEGMAG	magnetometer	1100	350	0	0	none	good
MEG0213	MEGGRAD	planar_gradiometer	1100	350	0	0	none	good
MEG0212	MEGGRAD	planar_gradiometer	1100	350	0	0	none	good
MEG0211	MEGMAG	magnetometer	1100	350	0	0	none	good
MEG0222	MEGGRAD	planar_gradiometer	1100	350	0	0	none	good
MEG0223	MEGGRAD	planar_gradiometer	1100	350	0	0	none	good
MEG0221	MEGMAG	magnetometer	1100	350	0	0	none	good
MEG0232	MEGGRAD	planar_gradiometer	1100	350	0	0	none	good
MEG0233	MEGGRAD	planar_gradiometer	1100	350	0	0	none	good
MEG0231	MEGMAG	magnetometer	1100	350	0	0	none	good
MEG0243	MEGGRAD	planar_gradiometer	1100	350	0	0	none	good
MEG0242	MEGGRAD	planar_gradiometer	1100	350	0	0	none	good
MEG0241	MEGMAG	magnetometer	1100	350	0	0	none	good
MEG0313	MEGGRAD	planar_gradiometer	1100	350	0	0	none	good
MEG0312	MEGGRAD	planar_gradiometer	1100	350	0	0	none	good
MEG0311	MEGMAG	magnetometer	1100	350	0	0	none	good
